experiment_name,num_features,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
Exp A (Baseline),16,0.8851,0.6632,0.8667,0.5029,0.7608,0.6055,0.1169,614,4586,607,193
Exp B (Voltage),18,0.8851,0.6632,0.8070,0.3951,0.8191,0.5331,0.1949,661,4181,1012,146
Exp C (Leakage/Power),18,0.8921,0.6632,0.6550,0.2555,0.8178,0.3894,0.3703,660,3270,1923,147
Exp D (Timing),18,0.8981,0.6932,0.7103,0.2966,0.8414,0.4386,0.3100,679,3583,1610,128
Exp E (Thermal),17,0.8851,0.6632,0.8688,0.5081,0.7770,0.6144,0.1169,627,4586,607,180
Exp F (All Engineered),23,0.9046,0.6932,0.5085,0.2032,0.9083,0.3320,0.5536,733,2318,2875,74
