config_id,val_pr_auc,val_roc_auc,tr_pr_auc,tr_roc_auc,accuracy_50,precision_50,recall_50,f1_50,fpr_50
Config_1 (Optimal),0.7660,0.8550,0.7840,0.8700,0.6625,0.2663,0.8600,0.4067,0.3682
Config_2 (High Est),0.7660,0.8630,0.7840,0.8780,0.6763,0.2738,0.8513,0.4144,0.3509
Config_3 (Regularized),0.7530,0.8695,0.7710,0.8845,0.7380,0.3178,0.8265,0.4591,0.2758
Config_4 (Fast LR),0.7530,0.8560,0.7710,0.8710,0.6652,0.2680,0.8600,0.4086,0.3651
Config_5 (Baseline B),0.7530,0.8692,0.7710,0.8842,0.7372,0.3170,0.8265,0.4583,0.2767
